technique,id,name,tactics,data_sources,data_sources_num
T1001,T1001,Data Obfuscation (T1001),command-and-control,Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Process: Process Creation,3
T1001,T1001.001,Junk Data (T1001.001),command-and-control,Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Process: Process Access|Process: Process Creation,4
T1001,T1001.002,Steganography (T1001.002),command-and-control,File: File Creation|File: File Metadata|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Process: Process Creation,5
T1001,T1001.003,Protocol or Service Impersonation (T1001.003),command-and-control,Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Process: Process Creation|Process: Process Metadata,4
T1003,T1003,OS Credential Dumping (T1003),credential-access,Active Directory: Active Directory Object Access|File: File Access|Process: Process Access|Process: Process Creation|Process: Process Metadata,5
T1003,T1003.001,LSASS Memory (T1003.001),credential-access,File: File Creation|Process: Process Access|Process: Process Creation|User Account: User Account Metadata|Windows Registry: Windows Registry Key Modification,5
T1003,T1003.002,Security Account Manager (T1003.002),credential-access,File: File Creation|File: File Modification|Process: Process Creation|Windows Registry: Windows Registry Key Modification,4
T1003,T1003.003,NTDS (T1003.003),credential-access,File: File Creation|File: File Modification|Process: Process Creation|Volume: Volume Creation,4
T1003,T1003.004,LSA Secrets (T1003.004),credential-access,File: File Modification|Module: Module Load|Process: Process Access|Process: Process Creation,4
T1003,T1003.005,Cached Domain Credentials (T1003.005),credential-access,File: File Access|Process: Process Access|Process: Process Creation,3
T1003,T1003.006,DCSync (T1003.006),credential-access,Active Directory: Active Directory Object Access|Active Directory: Active Directory Object Deletion|Network Traffic: Network Traffic Content,3
T1003,T1003.007,Proc Filesystem (T1003.007),credential-access,File: File Access|File: File Modification|Process: Process Access|Process: Process Creation,4
T1003,T1003.008,/etc/passwd and /etc/shadow (T1003.008),credential-access,File: File Access|Process: Process Creation,2
T1005,T1005,Data from Local System (T1005),collection,Command: Command Execution|File: File Access|File: File Creation|Process: Process Creation,4
T1006,T1006,Direct Volume Access (T1006),stealth,Command: Command Execution|Process: Process Access|Process: Process Creation,3
T1007,T1007,System Service Discovery (T1007),discovery,Command: Command Execution|Process: Process Creation,2
T1008,T1008,Fallback Channels (T1008),command-and-control,Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Flow,2
